,our_id,source,RA,Dec
401,200129_401,GLADE,316.528259,11.629121
402,200129_402,GLADE,316.445251,11.120784
403,200129_403,GLADE,316.620026,6.545035
404,200129_404,GLADE,316.805328,8.466605
405,200129_405,GLADE,316.77948,8.331609
406,200129_406,GLADE,316.7387700000001,7.583276
407,200129_407,GLADE,316.739044,7.702164999999999
408,200129_408,GLADE,316.788635,7.362163000000002
409,200129_409,GLADE,316.806854,7.561089999999999
410,200129_410,GLADE,316.9487,9.333111
411,200129_411,GLADE,317.016724,7.771169
412,200129_412,GLADE,317.274261,7.162226
413,200129_413,GLADE,317.19928,6.66417
414,200129_414,GLADE,308.899353,26.979774
415,200129_415,GLADE,308.915375,27.483948
416,200129_416,GLADE,308.91662599999995,28.499226
417,200129_417,GLADE,308.929077,29.366449
418,200129_418,GLADE,308.9776,29.68895
419,200129_419,GLADE,308.924805,29.818117
420,200129_420,GLADE,309.135406,28.646547
421,200129_421,GLADE,309.138428,28.360992
422,200129_422,GLADE,309.035919,27.501547
423,200129_423,GLADE,309.179993,29.445446
424,200129_424,GLADE,320.4771120000001,-1.515854
425,200129_425,GLADE,321.007874,-0.366218
426,200129_426,GLADE,317.366211,7.342084
427,200129_427,GLADE,317.450348,7.019653999999999
428,200129_428,GLADE,317.528351,8.056037
429,200129_429,GLADE,317.605408,8.82354
430,200129_430,GLADE,317.695099,8.168646
431,200129_431,GLADE,318.181885,8.799895
432,200129_432,GLADE,318.256653,8.800732
433,200129_433,GLADE,317.49585,6.060167
434,200129_434,GLADE,317.5465700000001,5.138219
435,200129_435,GLADE,317.592682,2.498257
436,200129_436,GLADE,317.705841,5.7697080000000005
437,200129_437,GLADE,317.801544,4.839152
438,200129_438,GLADE,317.737122,4.600265
439,200129_439,GLADE,317.741608,4.673598
440,200129_440,GLADE,317.724579,4.701931
441,200129_441,GLADE,317.864532,4.326298
442,200129_442,GLADE,317.8149410000001,4.787966
443,200129_443,GLADE,317.826935,4.782411
444,200129_444,GLADE,318.228119,5.224728
445,200129_445,GLADE,318.235657,2.255561
446,200129_446,GLADE,318.24234,1.448617
447,200129_447,GLADE,319.3374330000001,2.256729
448,200129_448,GLADE,319.490448,3.146358
449,200129_449,GLADE,319.502411,3.172784
450,200129_450,GLADE,319.722076,2.579626
451,200129_451,GLADE,320.127258,2.968345
452,200129_452,GLADE,320.15152,1.212236
453,200129_453,GLADE,317.01416,5.616373
454,200129_454,GLADE,317.287445,5.147973
455,200129_455,GLADE,317.294678,5.40214
456,200129_456,GLADE,318.304962,4.3892690000000005
457,200129_457,GLADE,318.310059,2.522326
458,200129_458,GLADE,318.391541,2.463992
459,200129_459,GLADE,318.447418,2.476329
460,200129_460,GLADE,318.414337,2.493548
461,200129_461,GLADE,318.566498,5.852971
462,200129_462,GLADE,318.6922,4.362328
463,200129_463,GLADE,318.841095,5.817613
464,200129_464,GLADE,318.855347,5.146224
465,200129_465,GLADE,319.083282,4.46724
466,200129_466,GLADE,319.19458,2.450568
467,200129_467,GLADE,320.244507,3.652064
468,200129_468,GLADE,320.36853,1.09356
469,200129_469,GLADE,320.3862299999999,2.845228
470,200129_470,GLADE,318.766632,7.188782000000002
471,200129_471,GLADE,319.184937,6.505095
472,200129_472,GLADE,319.239532,8.011207
473,200129_473,GLADE,308.183533,27.366802000000003
474,200129_474,GLADE,308.080414,26.78623
475,200129_475,GLADE,307.326965,30.486994
476,200129_476,GLADE,307.318268,30.490608
477,200129_477,GLADE,310.588837,24.798836
478,200129_478,GLADE,310.524384,26.528559
479,200129_479,GLADE,310.521606,26.602171
480,200129_480,GLADE,310.481842,27.054655
481,200129_481,GLADE,310.586334,28.160782
482,200129_482,GLADE,310.607574,27.944641
483,200129_483,GLADE,310.715302,27.070782
484,200129_484,GLADE,310.950653,27.490952000000004
485,200129_485,GLADE,310.9530640000001,24.245398
486,200129_486,GLADE,311.0244140000001,25.900284
487,200129_487,GLADE,311.074585,28.013895
488,200129_488,GLADE,318.598755,8.332315
489,200129_489,GLADE,318.6026,6.777038
490,200129_490,GLADE,319.069763,6.347119
491,200129_491,GLADE,314.250244,18.366974
492,200129_492,GLADE,314.274597,19.549475
493,200129_493,GLADE,314.365265,20.283653
494,200129_494,GLADE,315.829224,12.10177
495,200129_495,GLADE,315.81485,14.21066
496,200129_496,GLADE,320.686432,1.798836
497,200129_497,GLADE,320.706848,3.798684
498,200129_498,GLADE,320.7018740000001,3.123961
499,200129_499,GLADE,320.73761,1.673131
500,200129_500,GLADE,312.647766,25.15724
501,200129_501,GLADE,312.985199,22.56834
502,200129_502,GLADE,312.959229,22.029999
503,200129_503,GLADE,312.951294,21.777775
504,200129_504,GLADE,313.037415,21.529177
505,200129_505,GLADE,313.017151,19.764454
506,200129_506,GLADE,313.064636,19.751144
507,200129_507,GLADE,313.115906,21.933655
508,200129_508,GLADE,313.11319,22.259487
509,200129_509,GLADE,313.235718,22.2693
510,200129_510,GLADE,313.214386,21.657625
511,200129_511,GLADE,313.288818,19.377085
512,200129_512,GLADE,313.398224,18.304045
513,200129_513,GLADE,313.509064,19.055485
514,200129_514,GLADE,313.544312,18.871042000000006
515,200129_515,GLADE,314.7910770000001,18.556795
516,200129_516,GLADE,315.070801,18.321211
517,200129_517,GLADE,314.987274,18.854546
518,200129_518,GLADE,315.27594,13.010107
519,200129_519,GLADE,309.752869,26.901386
520,200129_520,GLADE,309.715179,28.183605
521,200129_521,GLADE,309.722412,28.185827000000003
522,200129_522,GLADE,309.742584,28.632219
523,200129_523,GLADE,309.742279,29.894442
524,200129_524,GLADE,309.806915,29.607149
525,200129_525,GLADE,309.8581240000001,29.218834
526,200129_526,GLADE,309.8180240000001,24.754101
527,200129_527,GLADE,309.926666,24.025774
528,200129_528,GLADE,310.053406,25.723854
529,200129_529,GLADE,309.987732,26.001089
530,200129_530,GLADE,309.963623,27.278585
531,200129_531,GLADE,309.99295,29.629978
532,200129_532,GLADE,310.19632,29.834017
533,200129_533,GLADE,310.190826,28.424019
534,200129_534,GLADE,310.209351,28.165958000000003
535,200129_535,GLADE,310.192047,28.359573
536,200129_536,GLADE,310.095825,26.753727
537,200129_537,GLADE,310.165497,26.197355
538,200129_538,GLADE,318.130188,2.4207970000000003
539,200129_539,GLADE,318.116577,1.478019
