,our_id,RA,Dec
4521,200129_6166,309.8106776,26.27329481
4522,200129_6167,308.92822810000007,26.12606457
4523,200129_6168,309.6448275,26.11317961
4524,200129_6169,308.7477567,26.2331647
4525,200129_6170,309.8023374,26.22606627
4526,200129_6171,309.6711839,26.30176811
4527,200129_6172,309.77803660000006,26.08531217
4528,200129_6173,309.3475533,26.16204416
4529,200129_6174,309.5468958,26.12864355
4530,200129_6175,308.6363788000001,26.13369465
4531,200129_6176,309.6374843000001,26.0190531
4532,200129_6177,309.3309677,26.05090485
4533,200129_6178,309.8406487,26.07796215
4534,200129_6179,309.5658454,26.26370504
4535,200129_6180,309.1178717,26.31873027
4536,200129_6181,309.8343538000001,26.087914399999995
4537,200129_6182,308.71698639999994,26.0950385
4538,200129_6183,308.5375671,26.11015405
4539,200129_6184,309.73190960000005,26.21208203
4540,200129_6185,309.5793838,26.02029856
4541,200129_6186,309.072071,26.04081356
4542,200129_6187,309.3362134,26.05250522
4543,200129_6188,308.5436826,26.12945861
4544,200129_6189,308.8210243000001,26.27669794
4545,200129_6190,308.7017694999999,26.31801652
4546,200129_6191,308.710133,26.09303543
4547,200129_6192,308.9013334,26.21975019
4548,200129_6193,309.6612566,26.15506936
4549,200129_6194,309.8659253,26.2906065
4550,200129_6195,309.8729289,26.263024
4551,200129_6196,309.00691760000007,26.30786846
4552,200129_6197,309.6514531,26.22303018
4553,200129_6198,309.2030356,26.12316997
4554,200129_6199,309.8367289,26.24000961
4555,200129_6200,309.04812389999995,26.28100231
4556,200129_6201,308.667547,26.23871384
4557,200129_6202,309.2999925,26.32391947
4558,200129_6203,308.6747301000001,26.00497871
4559,200129_6204,309.3814273,26.32397406
4560,200129_6205,309.5989464,26.05235178
4561,200129_6206,308.8643786,26.05812283
4562,200129_6207,309.8778225000001,26.06428955
4563,200129_6208,308.8382035,26.11768625
4564,200129_6209,308.567041,26.17176866
4565,200129_6210,309.2238169,26.30650469
4566,200129_6211,308.9197805,26.33426913
4567,200129_6212,309.3370812,26.2598217
4568,200129_6213,309.6474451,26.2248482
4569,200129_6214,309.2762903,26.18922689
4570,200129_6215,309.4568845,26.29546136
4571,200129_6216,309.7749937,26.25484491
4572,200129_6217,308.7349464,26.29954694
4573,200129_6218,308.7638228,26.30326022
4574,200129_6219,308.6294521000001,26.32367686
4575,200129_6220,308.6487775,26.32449258
4576,200129_6221,308.5829062,26.14420474
4577,200129_6222,309.0321337,26.30752198
4578,200129_6223,309.8337311,26.05403094
4579,200129_6224,309.1391868,26.28864983
4580,200129_6225,309.1059405,26.3203357
4581,200129_6226,308.7843999,26.07316681
4582,200129_6227,309.4064716,26.08584893
4583,200129_6228,308.7828284,26.14481746
4584,200129_6229,309.040891,26.12355568
4585,200129_6230,309.7271497,26.18849827
4586,200129_6231,309.8535751,26.27386701
4587,200129_6232,308.9357042,26.34194345
4588,200129_6233,309.4965184,26.31372487
4589,200129_6234,309.8709273,26.25711923
4590,200129_6235,308.7674182,26.2622174
4591,200129_6236,309.0471791,26.28173878
4592,200129_6237,308.9069793999999,26.14267286
4593,200129_6238,308.7934259999999,26.33578569
4594,200129_6239,309.6248023,26.19263922
4595,200129_6240,309.9316441,26.32769038
4596,200129_6241,309.2394635,26.06096561
4597,200129_6242,309.0481531000001,26.13719917
4598,200129_6243,309.8516144,26.15613625
4599,200129_6244,308.7509341,26.2630697
4600,200129_6245,309.7999374,26.18079489
4601,200129_6246,309.9138553,26.32738162
4602,200129_6247,309.1525043000001,26.04176587
4603,200129_6248,309.8534556,26.04789167
4604,200129_6249,309.2372946000001,26.18453774
4605,200129_6250,308.916777,26.31103631
4606,200129_6251,308.8307111000001,26.36366323
4607,200129_6252,309.3056055,26.2129912
4608,200129_6253,308.7007318,26.22632488
4609,200129_6254,309.29718439999994,26.21888526
4610,200129_6255,309.6188291,26.30489259
4611,200129_6256,309.3953468,26.03563725
4612,200129_6257,308.6540733,26.07988417
4613,200129_6258,309.5368759,26.10541513
4614,200129_6259,309.93001789999994,26.14814217
4615,200129_6260,309.2953316,26.22350783
4616,200129_6261,308.89149289999995,26.22682188
4617,200129_6262,308.7790144,26.31908572
4618,200129_6263,309.4754779999999,26.14924197
4619,200129_6264,308.8967472,26.18671316
4620,200129_6265,308.7038818,26.35748262
4621,200129_6266,308.6801829,26.37122818
4622,200129_6267,309.9958531000001,26.35534521
4623,200129_6268,308.7981455000001,26.10775458
4624,200129_6269,309.3917566,26.24066292
